"filename", "language", "HTML", "CSS", "JavaScript", "Python", "JSON", "XML", "comment", "blank", "total"
"e:\Materials\【FDD】\assignment\WebSite\404.html", "HTML", 26, 0, 0, 0, 0, 0, 0, 3, 29
"e:\Materials\【FDD】\assignment\WebSite\FAQ.html", "HTML", 48, 0, 0, 0, 0, 0, 0, 6, 54
"e:\Materials\【FDD】\assignment\WebSite\aboutUs.html", "HTML", 48, 0, 0, 0, 0, 0, 0, 6, 54
"e:\Materials\【FDD】\assignment\WebSite\article.html", "HTML", 54, 0, 0, 0, 0, 0, 0, 5, 59
"e:\Materials\【FDD】\assignment\WebSite\article\artile1.html", "HTML", 28, 0, 0, 0, 0, 0, 0, 3, 31
"e:\Materials\【FDD】\assignment\WebSite\article\t1.html", "HTML", 22, 0, 0, 0, 0, 0, 0, 3, 25
"e:\Materials\【FDD】\assignment\WebSite\article\t2.html", "HTML", 22, 0, 0, 0, 0, 0, 0, 3, 25
"e:\Materials\【FDD】\assignment\WebSite\article\t3.html", "HTML", 22, 0, 0, 0, 0, 0, 0, 3, 25
"e:\Materials\【FDD】\assignment\WebSite\article\test4.html", "HTML", 22, 0, 0, 0, 0, 0, 0, 2, 24
"e:\Materials\【FDD】\assignment\WebSite\article\this is a test.html", "HTML", 22, 0, 0, 0, 0, 0, 0, 3, 25
"e:\Materials\【FDD】\assignment\WebSite\article\this is a tile .html", "HTML", 24, 0, 0, 0, 0, 0, 0, 2, 26
"e:\Materials\【FDD】\assignment\WebSite\article\this is test4.html", "HTML", 24, 0, 0, 0, 0, 0, 0, 2, 26
"e:\Materials\【FDD】\assignment\WebSite\article\this is test5.html", "HTML", 25, 0, 0, 0, 0, 0, 0, 2, 27
"e:\Materials\【FDD】\assignment\WebSite\article\this is test6.html", "HTML", 24, 0, 0, 0, 0, 0, 0, 2, 26
"e:\Materials\【FDD】\assignment\WebSite\article\标题.html", "HTML", 26, 0, 0, 0, 0, 0, 0, 2, 28
"e:\Materials\【FDD】\assignment\WebSite\backlayer.html", "HTML", 84, 0, 0, 0, 0, 0, 0, 9, 93
"e:\Materials\【FDD】\assignment\WebSite\contactUs.html", "HTML", 26, 0, 0, 0, 0, 0, 0, 3, 29
"e:\Materials\【FDD】\assignment\WebSite\followUs.html", "HTML", 48, 0, 0, 0, 0, 0, 0, 6, 54
"e:\Materials\【FDD】\assignment\WebSite\gallery.html", "HTML", 19, 0, 0, 0, 0, 0, 0, 3, 22
"e:\Materials\【FDD】\assignment\WebSite\images\Frame.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"e:\Materials\【FDD】\assignment\WebSite\images\facebook.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\Materials\【FDD】\assignment\WebSite\images\instagram.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\Materials\【FDD】\assignment\WebSite\images\like.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\Materials\【FDD】\assignment\WebSite\images\linkedin.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\Materials\【FDD】\assignment\WebSite\images\menu.svg", "XML", 0, 0, 0, 0, 0, 2, 0, 0, 2
"e:\Materials\【FDD】\assignment\WebSite\images\review.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\Materials\【FDD】\assignment\WebSite\images\search.svg", "XML", 0, 0, 0, 0, 0, 2, 0, 0, 2
"e:\Materials\【FDD】\assignment\WebSite\images\share.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\Materials\【FDD】\assignment\WebSite\images\twitter.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\Materials\【FDD】\assignment\WebSite\images\whatsapp.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\Materials\【FDD】\assignment\WebSite\index(old).html", "HTML", 285, 0, 0, 0, 0, 0, 2, 15, 302
"e:\Materials\【FDD】\assignment\WebSite\index.html", "HTML", 356, 0, 0, 0, 0, 0, 9, 21, 386
"e:\Materials\【FDD】\assignment\WebSite\joinUs.html", "HTML", 49, 0, 0, 0, 0, 0, 0, 6, 55
